rms_accel_x,peak_accel_x,kurtosis_accel_x,dominant_freq_accel_x,dominant_mag_accel_x,energy_0_50hz_accel_x,energy_50_100hz_accel_x,rms_accel_y,peak_accel_y,kurtosis_accel_y,dominant_freq_accel_y,dominant_mag_accel_y,energy_0_50hz_accel_y,energy_50_100hz_accel_y,rms_accel_z,peak_accel_z,kurtosis_accel_z,dominant_freq_accel_z,dominant_mag_accel_z,energy_0_50hz_accel_z,energy_50_100hz_accel_z,label
1.0433881270888603,1.509,-1.5864665807940004,39.453125,245.18556566888444,1761.249298925105,374.1461456653052,0.2679515148611895,0.5266,-0.9242485923618204,0.0,55.56529999999999,407.4159803379546,292.99162886843624,0.46366780079296804,0.6428,-1.250758182410088,0.0,229.78820000000002,408.2362394680827,128.78332679301445,normal
1.006871526695204,1.4236,-1.582384601055164,39.0625,269.07104170131316,1700.25757058496,336.2150380901612,0.26919098460276536,0.5381,-0.9112794199589027,39.0625,56.76078873148335,413.6855711041495,297.31487101242817,0.4641620656026635,0.6384,-1.309132701871339,0.0,229.4561,412.5761062776721,136.40729790384955,normal
0.9893187430803867,1.3887,-1.5832618928066278,39.0625,306.04182333881164,1411.5562264598973,274.59493583272695,0.26856774746880674,0.5381,-0.9212622258474492,39.0625,65.36063475508402,366.49847274253676,259.15024057865855,0.464576778524854,0.6392,-1.3199753736410664,0.0,229.3721,391.90752398192444,130.9104254921865,normal
0.978532122810025,1.3801,-1.5882849952669542,39.0625,219.26056121299743,1638.9288217291924,413.1394184532978,0.26630134496116425,0.5383,-0.909803209687317,0.0,54.964200000000005,415.40541082993,282.7809334469557,0.46537223453885546,0.6392,-1.3022700179541862,0.0,229.5796,426.117299527085,139.72626922033848,normal
0.9679626806407782,1.3618,-1.588720829832065,39.0625,262.9794622971966,1606.1668408224566,330.6082314104741,0.265305909775336,0.5383,-0.896236318260013,39.0625,56.56116706463567,388.9551878854946,270.9707042818948,0.46483063531919877,0.6304,-1.306518634762561,0.0,229.2198,410.63374887616874,138.57206390077903,normal
0.9468782978284155,1.3499,-1.5859931116353763,38.671875,231.12032988826877,1428.064394116643,293.05864009032433,0.26476738766379915,0.5518,-0.9033205404325138,0.0,56.1648,360.07829543394814,269.7574428593273,0.46477168044256556,0.6279,-1.3219037314547688,0.0,228.7039,406.173401196279,136.48983991160748,normal
0.9214652001449241,1.3164,-1.5872431228187964,38.28125,259.8719760434664,1498.69062852046,386.34906507121997,0.2645708819248634,0.5518,-0.8930382610800436,38.28125,58.242808444885945,378.246521131607,282.26850700805255,0.4649890149912146,0.6279,-1.3235411618242316,0.0,228.2154,415.51268680448857,137.6846061526564,normal
0.9103107274806808,1.2598,-1.5901972821812727,38.28125,252.03996759795706,1435.472613664806,404.90359005965445,0.26453506195570037,0.5627,-0.872235692046778,0.0,57.0057,381.92955351095446,304.4878074506572,0.4648738359591503,0.6172,-1.3181057265879514,0.0,227.86700000000002,415.3306254146139,149.811217640487,normal
0.9038160822140476,1.2542,-1.5933472178780892,38.28125,209.62650286104196,1585.29430897182,337.72502094117584,0.2635979347622767,0.5627,-0.8615130685091792,0.0,54.5976,423.4809599662807,279.1871384992728,0.4661509551301488,0.6174,-1.3182784745968024,0.0,228.478,449.6016409759011,143.05125780597677,normal
0.8969895888905985,1.2542,-1.5899940550106042,38.671875,250.40059009962545,1428.3444502306268,313.031995182271,0.2640912978749608,0.5493,-0.8685793321465751,38.671875,56.41125955760534,386.8233263033895,304.18338946411757,0.4650472785944726,0.6189,-1.3316538633571857,0.0,227.8378,431.0270869649048,137.0380428662861,normal
0.8863776308287533,1.2368,-1.587176787581363,38.671875,196.10956396777044,1576.913704952431,340.11112071441494,0.2648443850287372,0.5493,-0.8866143461367826,0.0,57.0368,422.0412870778521,277.26495402257626,0.4640774551462288,0.6287,-1.3475307979542028,0.0,227.017,453.0820937923228,139.34117492023444,normal
0.8775922911201953,1.2324,-1.5928037570178375,38.28125,237.01381114110816,1400.846291413955,309.0008046705078,0.26696247296700004,0.5542,-0.872820026935123,0.0,55.9345,385.1579584348417,316.3413919381121,0.4649730007282681,0.6287,-1.3470823042962665,0.0,227.2256,434.3189217613048,150.67858662173452,normal
0.8555916546643323,1.2188,-1.5897704116213223,38.28125,225.18353488151334,1424.8131213146949,324.9290734525335,0.2649244442702013,0.5542,-0.8810220837091367,0.0,56.0262,394.58242835914126,315.03075893260586,0.4657245525916781,0.6316,-1.3686565459265128,0.0,226.9179,452.2709714514374,147.94487984111316,normal
0.8383578764372499,1.1912,-1.5892907283032154,37.890625,240.77372783568953,1323.9404962490214,399.67207466475935,0.2602357673897004,0.5635,-0.8652059103749044,37.890625,58.00258072142981,379.69916114021544,304.8510477489141,0.46608137990624826,0.6375,-1.3608505226756347,0.0,226.751,447.2430063081922,139.55943715188994,normal
0.8354068013548849,1.1697,-1.595135011566131,37.890625,231.17499162204197,1346.3371721887181,407.841758187795,0.2618396020974721,0.564,-0.8450192564398269,0.0,55.044399999999996,402.6293939596595,306.4214593420952,0.46564537633687103,0.6375,-1.3131367720231393,0.0,226.68670000000003,455.24925091329624,140.83998097608446,normal
0.8267057761101626,1.1616,-1.5914147309315685,37.5,233.52643391691012,1286.1737267462436,275.5457678391782,0.26122111671227166,0.564,-0.8786904781252622,37.5,56.0660658787297,378.7306084197861,246.99612438528843,0.4656577961604423,0.6379,-1.3093469981156112,0.0,226.363,443.346318910885,127.53175145663606,normal
0.8198953039703644,1.1536,-1.5893869793047073,37.5,253.6416331082723,1205.0524051546995,337.35012210687444,0.25817900316598413,0.5376,-0.8868637096780128,37.5,60.536976265408086,347.7430550239589,270.36690834119736,0.4650977412186806,0.6453,-1.3357109907667706,0.0,225.69889999999998,416.197589987417,136.46549064097627,normal
0.8104020221711336,1.1438,-1.5928594983795983,37.5,222.73407321569826,1354.1663123933288,367.4239363494558,0.2576156053069306,0.5376,-0.8850056348027255,0.0,56.3193,384.0610587473426,274.27741872968784,0.46513183392419777,0.6455,-1.3330615673281967,0.0,225.4808,448.5269640280662,144.80644017678452,normal
0.8046741894651563,1.1182,-1.5934124131092207,37.5,201.2676589131865,1278.1972317421662,291.5013303025131,0.2594078594772983,0.5552,-0.8670179585577658,0.0,55.6151,369.473079890301,307.0827405901746,0.4655978096926842,0.6482,-1.310288165811493,0.0,225.6348,453.6185693329575,152.705223454563,normal
0.7962999089171153,1.1091,-1.595150680427005,37.5,219.23194082376952,1274.7020851980055,300.3598049218746,0.2603469309837476,0.5552,-0.8377324988700776,0.0,55.8381,367.720084834321,308.88665922355875,0.46548624159397156,0.6562,-1.3163627934944426,0.0,225.1917,457.03469985139975,156.14806226134573,normal
0.7827557877660504,1.1072,-1.593346498260252,37.109375,216.14200116739343,1292.7957745777637,316.95160331016115,0.2609393173589407,0.5408,-0.863311095253565,0.0,56.8928,377.11969308001954,318.52163084619986,0.46479467028715354,0.6587,-1.3242643032813017,0.0,224.3349,465.25856687136957,155.63139571180196,normal
0.772683866531233,1.0974,-1.5865030711232102,37.109375,234.92660843604412,1179.7704131574012,241.81061883071862,0.2592541072932838,0.5598,-0.8552688952100476,37.109375,59.96467121739087,362.67141553498607,291.0579711378015,0.4655002725353324,0.6587,-1.3004715816514987,0.0,224.60629999999998,446.4956562434493,148.65406047876212,normal
0.7619889412465455,1.0642,-1.590834632537192,36.71875,153.5295771087397,1287.7753299271726,276.6547597262436,0.2548536827846642,0.5696,-0.8282753817346826,0.0,55.0333,403.7545009699743,273.3518790182668,0.4665833819213413,0.668,-1.2760933390604456,0.0,224.95589999999999,483.399666854674,143.12854464531625,normal
0.757387104056192,1.0435,-1.5996700167451023,36.328125,217.54338925477865,1233.898247536217,267.821880421309,0.2509862709454942,0.5696,-0.850745073668028,36.328125,55.07270968722801,371.050081938261,271.0800761389794,0.4666346728546393,0.668,-1.2668965675822568,0.0,224.8303,469.6953499219329,144.32353304154168,normal
0.760114497208932,1.0635,-1.598187262474593,37.5,139.92447208508463,1322.501535709076,294.9521523234526,0.25358495413735366,0.5459,-0.8323362396680989,0.0,54.250299999999996,411.24530804315833,269.0177689425385,0.4655511276760789,0.6667,-1.2852552060038815,0.0,224.22050000000002,488.57954390225296,147.40555634976351,normal
0.7642415363220215,1.0867,-1.5922767490373095,37.5,162.01967682989022,1299.2688893510779,283.8050234897244,0.2568780616833963,0.5557,-0.8378356991007894,0.0,54.5951,378.2350626922465,305.6279725686188,0.46348544633552813,0.6667,-1.3221062980479985,0.0,223.2845,476.872376444854,144.49846431386914,normal
0.7615321135967035,1.0867,-1.583370704993434,38.28125,149.69361268797414,1398.1727791857725,293.26803477025214,0.2573088615922628,0.5557,-0.8635200183279661,0.0,55.713300000000004,415.94246863800714,297.2064337268213,0.46373010174629054,0.6597,-1.3238285613605643,0.0,223.3838,498.94492089595803,146.70134366488188,normal
0.7486686168339309,1.0554,-1.5863929654089928,37.5,165.50387190314055,1308.0481734229716,258.81780201088293,0.257338731584341,0.5413,-0.8563349635108977,0.0,56.232400000000005,398.4837298679074,319.0179819850583,0.4655781168720844,0.6748,-1.3010393640460023,0.0,223.53449999999998,483.4489047290655,160.68479120422614,normal
0.7316799623634768,1.0337,-1.5912891070883235,36.328125,138.07298674904624,1250.3331337774357,265.47368519865574,0.25448920750845455,0.5413,-0.8325526375314944,0.0,55.84570000000001,389.0122612123747,296.6312487117433,0.4658639154671405,0.6748,-1.280316236763541,0.0,223.1112,487.0411040387942,160.0479799882106,normal
0.7232803380989066,0.9988,-1.5912534014777018,37.109375,157.93404539798314,1230.0933241868693,244.07866601267588,0.25523069654144515,0.5437,-0.8247994775014957,0.0,55.5171,376.63211890983627,297.68466485577267,0.4649752398901876,0.6729,-1.2751990850897827,0.0,222.52280000000002,489.2517285409317,158.12534412867257,normal
0.7202099859942107,0.9988,-1.5924421159668103,37.109375,182.96339567404087,1223.158307550067,324.5783182266919,0.2577221046450154,0.5637,-0.8084006306613589,0.0,54.271300000000004,386.74397279178487,307.5357672845339,0.4658465505215344,0.6721,-1.2755517260917084,0.0,222.8494,488.6337592897187,154.2037196891776,normal
0.7095007714770736,0.9802,-1.5929778458170243,36.71875,200.91397253203013,1198.0783727233888,335.23000816005487,0.2606413364933937,0.5637,-0.8101016862935215,0.0,55.033,401.8620277990335,314.750934867756,0.46526810227242904,0.6738,-1.2816011739133124,0.0,222.19819999999999,492.6499935896749,154.2962858804586,normal
0.6993690891450397,0.9736,-1.595362232874315,36.328125,188.34015249193342,1224.2314733164012,273.2151757378881,0.2617197777964893,0.561,-0.8101174217047613,0.0,55.4293,390.83456368851273,303.35850139405227,0.4641957849839602,0.6748,-1.2818126266848118,0.0,221.38639999999998,497.67439202264615,155.93670014062383,normal
0.6963607069049011,0.9668,-1.596508477671686,36.71875,177.41774742028633,1084.1619012881006,245.8671196498264,0.26127126580613014,0.5508,-0.7970119609335917,0.0,54.697599999999994,355.7652902891607,328.28228035090234,0.46457350594052926,0.6755,-1.2852466596050331,0.0,221.51260000000002,470.8081732824587,157.82982849416052,normal
0.6866327580261018,0.9668,-1.594847952600652,36.71875,160.64649124349455,1167.4752524909438,236.5589680265238,0.25759354763124404,0.5496,-0.8000079073080459,0.0,54.7688,381.8079372791421,316.56452742667966,0.4658136266632356,0.6865,-1.2572559943885602,0.0,222.0153,486.78241144047,159.025759112425,normal
0.6607245870568208,0.9348,-1.5789924744350434,33.984375,108.38023922561834,1264.5404500460659,212.32527373202282,0.24808331903534697,0.5393,-0.812416767636488,0.0,54.4849,411.8136509300389,312.0043209726076,0.46606967363645724,0.6865,-1.2499791462104017,0.0,221.6103,525.4272008969447,174.2446982725395,normal
0.6507794002524733,0.908,-1.5815639788570357,34.375,110.92605657073217,1227.4270804723944,213.80820487487296,0.2465982292315909,0.5369,-0.8620639932465237,0.0,54.9273,401.36600869110754,256.27661257376764,0.465118354813455,0.6946,-1.2521545344743472,0.0,220.69299999999998,514.9398809778834,160.20783110425336,normal
0.654516302198616,0.908,-1.5946523102124242,35.15625,140.22225783084957,991.0404795077832,208.470762594729,0.250691419230458,0.5396,-0.8591276407690303,0.0,54.478899999999996,358.33990941624916,250.49226635996325,0.46536570555031637,0.6946,-1.2236078803125707,0.0,221.0029,478.2627783198311,135.39200222451723,normal
